iter	Passed	Remaining
0	0	205
1	0	211
2	0	207
3	0	205
4	1	202
5	1	203
6	1	204
7	1	204
8	1	202
9	2	201
10	2	199
11	2	210
12	2	209
13	2	208
14	3	207
15	3	206
16	3	205
17	3	204
18	3	203
19	4	202
20	4	202
21	4	201
22	4	201
23	4	201
24	5	202
25	5	202
26	5	201
27	5	200
28	5	199
29	6	199
30	6	199
31	6	200
32	6	200
33	7	199
34	7	198
35	7	198
36	7	197
37	7	197
38	8	197
39	8	197
40	8	197
41	8	196
42	8	196
43	9	196
44	9	195
45	9	195
46	9	194
47	9	194
48	10	194
49	10	194
50	10	194
51	10	193
52	10	193
53	11	192
54	11	192
55	11	192
56	11	191
57	11	191
58	12	191
59	12	190
60	12	190
61	12	190
62	12	189
63	13	190
64	13	190
65	13	189
66	13	189
67	13	190
68	14	189
69	14	190
70	14	190
71	14	189
72	14	189
73	15	189
74	15	189
75	15	188
76	15	188
77	15	188
78	16	188
79	16	186
80	16	186
81	16	186
82	16	187
83	17	187
84	17	187
85	17	186
86	17	186
87	17	186
88	18	186
89	18	186
90	18	185
91	18	185
92	18	185
93	19	185
94	19	185
95	19	184
96	19	184
97	20	184
98	20	184
99	20	184
100	20	183
101	20	183
102	21	183
103	21	182
104	21	182
105	21	182
106	21	182
107	22	182
108	22	182
109	22	181
110	22	181
111	22	181
112	23	181
113	23	181
114	23	180
115	23	180
116	23	180
117	24	180
118	24	179
119	24	179
120	24	179
121	24	179
122	25	179
123	25	178
124	25	178
125	25	178
126	26	178
127	26	178
128	26	178
129	26	178
130	26	178
131	27	177
132	27	177
133	27	177
134	27	177
135	27	176
136	27	176
137	28	175
138	28	175
139	28	175
140	28	175
141	28	174
142	29	174
143	29	174
144	29	174
145	29	173
146	29	173
147	30	173
148	30	173
149	30	172
150	30	172
151	30	172
152	31	172
153	31	172
154	31	171
155	31	171
156	31	171
157	32	171
158	32	170
159	32	170
160	32	169
161	32	169
162	32	169
163	33	169
164	33	168
165	33	168
166	33	168
167	33	168
168	34	167
169	34	167
170	34	167
171	34	167
172	34	166
173	35	166
174	35	166
175	35	166
176	35	165
177	35	165
178	36	165
179	36	165
180	36	165
181	36	164
182	36	164
183	37	164
184	37	164
185	37	164
186	37	164
187	37	163
188	38	163
189	38	163
190	38	163
191	38	163
192	38	162
193	39	162
194	39	162
195	39	161
196	39	161
197	39	161
198	40	161
199	40	161
200	40	160
201	40	160
202	40	160
203	41	160
204	41	160
205	41	159
206	41	159
207	41	159
208	42	159
209	42	159
210	42	158
211	42	158
212	42	158
213	43	158
214	43	157
215	43	157
216	43	157
217	43	157
218	44	157
219	44	156
220	44	156
221	44	156
222	44	156
223	44	155
224	45	155
225	45	155
226	45	155
227	45	155
228	45	154
229	46	154
230	46	154
231	46	154
232	46	153
233	46	153
234	47	153
235	47	152
236	47	152
237	47	152
238	47	152
239	47	151
240	48	151
241	48	151
242	48	151
243	48	151
244	48	150
245	49	150
246	49	150
247	49	150
248	49	149
249	49	149
250	50	149
251	50	149
252	50	149
253	50	149
254	51	149
255	51	148
256	51	148
257	51	148
258	51	148
259	51	147
260	52	147
261	52	147
262	52	147
263	52	146
264	52	146
265	53	146
266	53	145
267	53	145
268	53	145
269	53	145
270	53	144
271	54	144
272	54	144
273	54	144
274	54	143
275	54	143
276	54	143
277	55	143
278	55	143
279	55	142
280	55	142
281	55	142
282	56	142
283	56	142
284	56	141
285	56	141
286	56	141
287	57	141
288	57	141
289	57	140
290	57	140
291	57	140
292	58	140
293	58	139
294	58	139
295	58	139
296	58	139
297	59	139
298	59	139
299	59	138
300	59	138
301	59	138
302	60	138
303	60	138
304	60	137
305	60	137
306	60	137
307	61	137
308	61	137
309	61	136
310	61	136
311	61	136
312	62	136
313	62	135
314	62	135
315	62	135
316	62	135
317	63	135
318	63	135
319	63	134
320	63	134
321	63	134
322	64	134
323	64	134
324	64	133
325	64	133
326	64	133
327	65	133
328	65	133
329	65	132
330	65	132
331	65	132
332	65	131
333	66	131
334	66	131
335	66	131
336	66	131
337	66	130
338	67	130
339	67	130
340	67	130
341	67	130
342	67	130
343	68	129
344	68	129
345	68	129
346	68	129
347	68	128
348	69	128
349	69	128
350	69	128
351	69	128
352	69	127
353	70	127
354	70	127
355	70	127
356	70	127
357	70	127
358	71	126
359	71	126
360	71	126
361	71	126
362	71	126
363	72	125
364	72	125
365	72	125
366	72	125
367	72	124
368	72	124
369	73	124
370	73	124
371	73	124
372	73	123
373	73	123
374	74	123
375	74	123
376	74	123
377	74	122
378	74	122
379	75	122
380	75	122
381	75	121
382	75	121
383	75	121
384	75	121
385	76	121
386	76	120
387	76	120
388	76	120
389	76	120
390	77	120
391	77	119
392	77	119
393	77	119
394	77	119
395	78	119
396	78	118
397	78	118
398	78	118
399	78	118
400	78	117
401	79	117
402	79	117
403	79	117
404	79	117
405	79	116
406	80	116
407	80	116
408	80	116
409	80	115
410	80	115
411	80	115
412	81	115
413	81	115
414	81	114
415	81	114
416	81	114
417	82	114
418	82	114
419	82	113
420	82	113
421	82	113
422	82	113
423	83	112
424	83	112
425	83	112
426	83	112
427	83	112
428	84	111
429	84	111
430	84	111
431	84	111
432	84	110
433	84	110
434	85	110
435	85	110
436	85	110
437	85	110
438	85	109
439	86	109
440	86	109
441	86	109
442	86	109
443	86	108
444	87	108
445	87	108
446	87	108
447	87	107
448	87	107
449	87	107
450	88	107
451	88	107
452	88	106
453	88	106
454	88	106
455	89	106
456	89	106
457	89	105
458	89	105
459	89	105
460	90	105
461	90	105
462	90	104
463	90	104
464	90	104
465	91	104
466	91	104
467	91	103
468	91	103
469	91	103
470	91	103
471	92	102
472	92	102
473	92	102
474	92	102
475	92	102
476	92	101
477	93	101
478	93	101
479	93	101
480	93	101
481	93	100
482	94	100
483	94	100
484	94	100
485	94	100
486	94	99
487	95	99
488	95	99
489	95	99
490	95	99
491	95	98
492	96	98
493	96	98
494	96	98
495	96	98
496	96	98
497	97	97
498	97	97
499	97	97
500	97	97
501	97	97
502	98	96
503	98	96
504	98	96
505	98	96
506	98	96
507	98	95
508	99	95
509	99	95
510	99	95
511	99	95
512	99	94
513	100	94
514	100	94
515	100	94
516	100	94
517	100	93
518	101	93
519	101	93
520	101	93
521	101	93
522	101	92
523	102	92
524	102	92
525	102	92
526	102	91
527	102	91
528	102	91
529	103	91
530	103	91
531	103	90
532	103	90
533	103	90
534	103	90
535	104	90
536	104	89
537	104	89
538	104	89
539	104	89
540	105	89
541	105	88
542	105	88
543	105	88
544	105	88
545	106	88
546	106	87
547	106	87
548	106	87
549	106	87
550	107	87
551	107	86
552	107	86
553	107	86
554	107	86
555	108	86
556	108	86
557	108	85
558	108	85
559	108	85
560	109	85
561	109	85
562	109	84
563	109	84
564	109	84
565	110	84
566	110	84
567	110	83
568	110	83
569	110	83
570	110	83
571	111	83
572	111	82
573	111	82
574	111	82
575	111	82
576	112	82
577	112	81
578	112	81
579	112	81
580	112	81
581	113	81
582	113	80
583	113	80
584	113	80
585	113	80
586	114	80
587	114	80
588	114	79
589	114	79
590	114	79
591	114	79
592	115	79
593	115	78
594	115	78
595	115	78
596	115	78
597	116	78
598	116	77
599	116	77
600	116	77
601	116	77
602	117	77
603	117	76
604	117	76
605	117	76
606	117	76
607	118	76
608	118	75
609	118	75
610	118	75
611	118	75
612	119	75
613	119	74
614	119	74
615	119	74
616	119	74
617	120	74
618	120	73
619	120	73
620	120	73
621	120	73
622	121	73
623	121	73
624	121	72
625	121	72
626	121	72
627	122	72
628	122	72
629	122	71
630	122	71
631	122	71
632	122	71
633	123	71
634	123	70
635	123	70
636	123	70
637	123	70
638	124	70
639	124	69
640	124	69
641	124	69
642	124	69
643	125	69
644	125	68
645	125	68
646	125	68
647	125	68
648	126	68
649	126	67
650	126	67
651	126	67
652	126	67
653	127	67
654	127	66
655	127	66
656	127	66
657	127	66
658	127	66
659	128	66
660	128	65
661	128	65
