iter	Passed	Remaining
0	57	57110
1	57	28671
2	57	19162
3	57	14411
4	58	11553
5	58	9651
6	58	8292
7	58	7273
8	58	6479
9	59	5845
10	59	5325
11	59	4893
12	59	4526
13	59	4211
14	59	3938
15	60	3699
16	60	3489
17	60	3303
18	60	3136
19	60	2988
20	61	2851
21	61	2728
22	61	2615
23	61	2511
24	61	2416
25	62	2329
26	62	2246
27	62	2171
28	62	2100
29	62	2035
30	63	1973
31	63	1915
32	63	1861
33	63	1809
34	63	1761
35	64	1715
36	64	1672
37	64	1631
38	64	1592
39	64	1555
40	64	1519
41	65	1486
42	65	1454
43	65	1425
44	65	1396
45	65	1368
46	66	1341
47	66	1315
48	66	1291
49	66	1268
50	67	1247
51	67	1226
52	67	1205
53	67	1187
54	67	1168
55	68	1149
56	68	1132
57	68	1115
58	68	1098
59	69	1081
60	69	1065
61	69	1049
62	69	1034
63	69	1020
64	69	1006
65	70	992
66	70	980
67	70	968
68	70	956
69	71	944
70	71	932
71	71	921
72	71	911
73	72	901
74	72	892
75	72	882
76	72	873
77	73	864
78	73	854
79	73	844
80	73	835
81	73	827
82	73	817
83	74	809
84	74	800
85	74	792
86	74	784
87	74	777
88	75	770
89	75	763
90	75	756
91	76	750
92	76	744
93	76	737
94	76	730
95	76	724
96	77	718
97	77	712
98	77	706
99	77	700
100	78	694
101	78	688
102	78	683
103	78	677
104	78	671
105	78	665
106	79	660
107	79	655
108	79	650
109	79	644
110	79	639
111	80	635
112	80	630
113	80	625
114	80	620
115	80	616
116	81	611
117	81	606
118	81	602
119	81	598
120	81	594
121	81	589
122	82	585
123	82	581
124	82	577
125	82	573
126	82	569
127	83	566
128	83	562
129	83	559
130	83	556
131	84	552
132	84	548
133	84	545
134	84	541
135	84	538
136	84	534
137	85	531
138	85	529
139	85	525
140	85	522
141	85	518
142	86	515
143	86	512
144	86	509
145	86	506
146	86	504
147	87	501
148	87	498
149	87	495
150	87	492
151	87	489
152	88	487
153	88	484
154	88	481
155	88	479
156	88	476
157	88	473
158	89	471
159	89	468
160	89	465
161	89	463
162	89	460
163	89	458
164	90	456
165	90	453
166	90	451
167	90	449
168	90	446
169	91	444
170	91	442
171	91	440
172	91	438
173	91	436
174	92	434
175	92	432
176	92	429
177	92	427
178	92	425
179	93	423
180	93	421
181	93	419
182	93	417
183	93	415
184	93	413
185	94	412
186	94	410
187	94	408
188	94	406
189	94	404
190	95	402
191	95	401
192	95	399
193	95	397
194	95	395
195	96	393
196	96	392
197	96	390
198	96	389
199	96	387
200	97	385
201	97	384
202	97	382
203	97	380
204	97	379
205	98	378
206	98	376
207	98	375
208	98	374
209	99	372
210	99	371
211	99	369
212	99	368
213	99	366
214	99	364
215	100	363
216	100	361
217	100	360
218	100	358
219	100	357
220	101	356
221	101	354
222	101	353
223	101	351
224	101	350
225	102	349
226	102	348
227	102	346
228	102	345
229	102	343
230	102	342
231	103	341
232	103	340
233	103	338
234	103	337
235	103	336
236	104	334
237	104	333
238	104	332
239	104	331
240	104	329
241	105	328
242	105	328
243	105	326
244	105	325
245	105	324
246	106	323
247	106	322
248	106	320
249	106	319
250	106	318
251	107	318
252	107	317
253	107	315
254	107	314
255	108	313
256	108	313
257	108	312
258	108	311
259	109	310
260	109	309
261	109	308
262	109	307
263	109	306
264	109	305
265	110	303
266	110	302
267	110	301
268	110	300
269	110	299
270	111	298
271	111	297
272	111	296
273	111	295
274	111	294
275	111	293
276	112	292
277	112	291
278	112	290
279	112	289
280	112	288
281	113	287
282	113	286
283	113	286
284	113	285
285	114	284
286	114	283
287	114	282
288	114	282
289	114	281
290	115	280
291	115	279
292	115	278
293	115	277
294	115	276
295	116	275
296	116	275
297	116	274
298	116	273
299	116	272
300	117	271
301	117	270
302	117	270
303	117	269
304	118	268
305	118	268
306	118	267
307	118	266
308	119	266
309	119	265
310	119	264
311	119	264
312	120	263
313	120	262
314	120	262
315	120	261
316	121	260
317	121	260
318	121	259
319	121	258
320	121	258
321	122	257
322	122	256
323	122	255
324	122	255
325	122	254
326	123	253
327	123	252
328	123	252
329	123	251
330	124	251
331	124	250
332	124	249
333	124	248
334	125	248
335	125	247
336	125	246
337	125	245
338	125	245
339	125	244
340	126	243
341	126	242
342	126	242
343	126	241
344	126	240
345	127	240
346	127	239
347	127	238
348	127	238
349	127	237
350	127	236
351	128	235
352	128	235
353	128	234
354	128	233
355	128	233
356	129	232
357	129	231
358	129	231
359	129	230
360	129	229
361	130	229
362	130	228
363	130	228
364	130	227
365	131	227
366	131	226
367	131	225
368	131	225
369	131	224
370	132	224
371	132	223
372	132	222
373	132	222
374	132	221
375	133	221
376	133	220
377	133	219
378	133	219
379	134	218
380	134	218
381	134	217
382	134	216
383	134	216
384	135	215
385	135	215
386	135	214
387	135	213
388	135	213
389	136	212
390	136	212
391	136	211
392	136	211
393	136	210
394	137	209
395	137	209
396	137	208
397	137	208
398	137	207
399	137	206
400	138	206
401	138	205
402	138	205
403	138	204
404	139	204
405	139	203
406	139	203
407	139	202
408	139	202
409	140	201
410	140	201
411	140	200
412	140	199
413	140	199
414	141	198
415	141	198
416	141	197
417	141	197
418	141	196
419	142	196
420	142	195
421	142	195
422	142	194
423	142	193
424	142	193
425	143	192
426	143	192
427	143	191
428	143	191
429	144	191
430	144	190
431	144	189
432	144	189
433	144	188
434	145	188
435	145	188
436	145	187
437	145	187
438	146	186
439	146	186
440	146	185
441	146	185
442	146	184
443	147	184
444	147	183
445	147	183
446	147	182
447	147	182
448	147	181
449	148	181
450	148	180
451	148	180
452	148	179
453	148	179
454	149	178
455	149	178
456	149	177
457	149	177
458	149	176
459	149	176
460	150	175
461	150	175
462	150	174
463	150	174
464	150	173
465	151	173
466	151	172
467	151	172
468	151	171
469	151	171
470	152	170
471	152	170
472	152	169
473	152	169
474	152	168
475	152	168
476	153	167
477	153	167
478	153	166
479	153	166
480	153	165
481	153	165
482	154	165
483	154	164
484	154	164
485	154	163
486	154	163
487	155	162
488	155	162
489	155	161
490	155	161
491	155	160
492	156	160
493	156	160
494	156	159
495	156	159
496	156	158
497	156	158
498	157	157
499	157	157
500	157	156
501	157	156
502	157	155
503	158	155
504	158	155
505	158	154
506	158	154
507	158	153
508	158	153
509	159	152
510	159	152
511	159	152
512	159	151
513	159	151
514	160	150
515	160	150
516	160	149
517	160	149
518	160	149
519	161	148
520	161	148
521	161	147
522	161	147
523	162	147
524	162	146
525	162	146
526	162	146
527	162	145
528	163	145
529	163	144
530	163	144
531	163	143
532	163	143
533	163	143
534	164	142
535	164	142
536	164	141
537	164	141
538	165	141
539	165	140
540	165	140
541	165	140
542	165	139
543	166	139
544	166	138
545	166	138
546	166	138
547	166	137
548	167	137
549	167	136
550	167	136
551	167	135
552	167	135
553	167	135
554	168	134
555	168	134
556	168	134
557	168	133
558	169	133
559	169	133
560	169	132
561	169	132
562	170	132
563	170	131
564	170	131
565	170	130
566	170	130
567	171	130
568	171	129
569	171	129
570	171	128
571	171	128
572	172	128
573	172	127
574	172	127
575	172	127
576	172	126
577	173	126
578	173	126
579	173	125
580	173	125
581	173	124
582	174	124
583	174	124
584	174	123
585	174	123
586	174	122
587	174	122
588	175	122
589	175	121
590	175	121
591	175	121
592	175	120
593	176	120
594	176	120
595	176	119
596	176	119
597	176	118
598	177	118
599	177	118
600	177	117
601	177	117
602	177	117
603	178	116
604	178	116
605	178	116
606	178	115
607	179	115
608	179	115
609	179	114
610	179	114
611	179	114
612	180	113
613	180	113
614	180	113
615	180	112
616	180	112
617	181	111
618	181	111
619	181	111
620	181	110
621	181	110
622	181	110
623	182	109
624	182	109
625	182	109
626	182	108
627	182	108
628	182	107
629	183	107
630	183	107
631	183	106
632	183	106
633	183	106
634	184	105
635	184	105
636	184	105
637	184	104
638	184	104
639	185	104
640	185	103
641	185	103
642	185	103
643	185	102
644	186	102
645	186	102
646	186	101
647	186	101
648	186	101
649	187	100
650	187	100
651	187	100
652	187	99
653	187	99
654	188	99
655	188	98
656	188	98
657	188	98
658	188	97
659	189	97
660	189	97
661	189	96
662	189	96
663	189	96
664	190	95
665	190	95
666	190	95
667	190	94
668	190	94
669	191	94
670	191	93
671	191	93
672	191	93
673	191	92
674	191	92
675	192	92
676	192	91
677	192	91
678	192	91
679	192	90
680	193	90
681	193	90
682	193	89
683	193	89
684	194	89
685	194	88
686	194	88
687	194	88
688	194	87
689	195	87
690	195	87
691	195	87
692	195	86
693	195	86
694	196	86
695	196	85
696	196	85
697	196	85
698	196	84
699	197	84
700	197	84
701	197	83
702	197	83
703	197	83
704	198	82
705	198	82
706	198	82
707	198	81
708	198	81
709	199	81
710	199	80
711	199	80
712	199	80
713	199	80
714	200	79
715	200	79
716	200	79
717	200	78
718	200	78
719	200	78
720	201	77
721	201	77
722	201	77
723	201	76
724	201	76
725	202	76
726	202	75
727	202	75
728	202	75
729	202	75
730	203	74
731	203	74
732	203	74
733	203	73
734	203	73
735	204	73
736	204	72
737	204	72
738	204	72
739	204	71
740	204	71
741	205	71
742	205	71
743	205	70
744	205	70
745	205	70
746	206	69
747	206	69
748	206	69
749	206	68
750	206	68
751	207	68
752	207	68
753	207	67
754	207	67
755	207	67
756	208	66
757	208	66
758	208	66
759	208	65
760	208	65
761	209	65
762	209	65
763	209	64
764	209	64
765	209	64
766	210	63
767	210	63
768	210	63
769	211	63
770	211	62
771	211	62
772	211	62
773	212	61
774	212	61
775	212	61
776	212	61
777	212	60
778	213	60
779	213	60
780	213	59
781	213	59
782	213	59
783	214	58
784	214	58
785	214	58
786	214	58
787	214	57
788	215	57
789	215	57
790	215	56
791	215	56
792	215	56
793	216	56
794	216	55
795	216	55
796	216	55
797	216	54
798	217	54
799	217	54
800	217	54
801	217	53
802	217	53
803	218	53
804	218	52
805	218	52
806	218	52
807	218	52
808	219	51
809	219	51
810	219	51
811	219	50
812	219	50
813	220	50
814	220	50
815	220	49
816	220	49
817	220	49
818	221	48
819	221	48
820	221	48
821	221	48
822	221	47
823	222	47
824	222	47
825	222	46
826	222	46
827	222	46
828	223	46
829	223	45
830	223	45
831	223	45
832	223	44
833	224	44
834	224	44
835	224	44
836	224	43
837	224	43
838	225	43
839	225	42
840	225	42
841	225	42
842	226	42
843	226	41
844	226	41
845	226	41
846	226	40
847	227	40
848	227	40
849	227	40
850	227	39
851	227	39
852	228	39
853	228	39
854	228	38
855	228	38
856	228	38
857	229	37
858	229	37
859	229	37
860	229	37
861	229	36
862	229	36
863	230	36
864	230	35
865	230	35
866	230	35
867	230	35
868	231	34
869	231	34
870	231	34
871	231	34
872	232	33
873	232	33
874	232	33
875	232	32
876	232	32
877	233	32
878	233	32
879	233	31
880	233	31
881	233	31
882	233	31
883	234	30
884	234	30
885	234	30
886	234	29
887	234	29
888	235	29
889	235	29
890	235	28
891	235	28
892	235	28
893	236	28
894	236	27
895	236	27
896	236	27
897	236	26
898	237	26
899	237	26
900	237	26
901	237	25
902	237	25
903	238	25
904	238	25
905	238	24
906	238	24
907	238	24
908	239	23
909	239	23
910	239	23
911	239	23
912	239	22
913	240	22
914	240	22
915	240	22
916	240	21
917	240	21
918	241	21
919	241	21
920	241	20
921	241	20
922	242	20
923	242	19
924	242	19
925	242	19
926	242	19
927	243	18
928	243	18
929	243	18
930	243	18
931	243	17
932	244	17
933	244	17
934	244	16
935	244	16
936	244	16
937	245	16
938	245	15
939	245	15
940	245	15
941	245	15
942	246	14
943	246	14
944	246	14
945	246	14
946	246	13
947	247	13
948	247	13
949	247	13
950	247	12
951	247	12
952	248	12
953	248	11
954	248	11
955	248	11
956	248	11
957	249	10
958	249	10
959	249	10
960	249	10
961	249	9
962	250	9
963	250	9
964	250	9
965	250	8
966	250	8
967	251	8
968	251	8
969	251	7
970	251	7
971	252	7
972	252	6
973	252	6
974	252	6
975	252	6
976	253	5
